text	label
lereng anteng	1
punclut	1
bandung barat	1
orchid forest	1
cikole	1
lembang	1
Taman Kardus	1
trizara resort	1
cihideung	1
dago dreampark	1
taman love	1
bukit perkemahan	1
ranca upas	1
ciwidey	1
rainbow garden	1
floating market	1
d.dieuland	1
glamping laksade	1
kawah putih	1
bukit jamur	1
rancabali	1
taman nasional	1
kareumbi	1
cicalengka	1
curug layung	1
puncak artapela	1
kab bandung	1
puncak	1
caringin tilu	1
bandung	1
cipanas	1
nagrak	1
jl braga asia-afrika	1
sawah	1
gedebage	1
curug malela	1
kecamatan rongga	1
kab bandung barat	1
pangalengan	1
bandung creative hub	1
tebing keraton	1
selfie	1
jl rancabentang	1
ciumbuleuit	1
barusenhills	1
dusun bambu	1
cisarua	1
nyawang	1
hutan kota	1
babakan siliwangi	1
curug cisaladah	1
ciwangun indah camp	1
gedung sate	1
food lovers	1
ngemil	1
food lover	1
kantor	1
antapani	1
stone garden	1
padalarang	1
es alpukat kocok	1
galerinya	1
dago	1
makan	1
batagor	1
manis	1
unyu	1
adem	1
sampah	1
ngopi	1
langit	1
bintang	1
cukul	1
lapang sepak bola	1
Hujan	2
Pagi	2
Siang	2
Sore	2
Malam	2
Car free day	2
Mendung	2
Jalan Santai	2
Ngabuburit	2
Cerah	2
Aktifitas	2
Hari	2
Liburan	2
Weekend	2
wilujeng enjing	2
sonten	2
Gelap gulita	2
Cari Catering	2
Ulang tahun Bandung	2
Acara	2
Konfrensi Asia Afrika	2
Peringatan Bandung Lautan Api	2
Berlari	2
Persahabatan	2
long weekend	2
nongkrong	2
Belanja	2
morning	2
makan-makan	2
pesona alam	2
pemandangan	2
bukber	2
hari	2
mendaki	2
nonton persib	2
buka puasa	2
jalan-jalan	2
makan pedas	2
diskon	2
cahaya malam	2
beraktifitas	2
wisaata malam	2
bertualang	2
mentari pagi	2
malmingan	2
bergadang	2
berendam	2
camping	2
bersepeda	2
selfie	2
ngopi-ngopi	2
alam	2
hunting	2
mayday	2
pameran budaya	2
wisata sejarah	2
wisata kuliner	2
Asian African carnical	2
car free night	2
senja	2
piknik	2
taman	2
kota kembang	2
santai	2
refreshing	2
olahraga	2
macet	2
murah	2
kesegaran	2
karnaval kuliner	2
cari takjil	2
makanan khas	2
keju meleleh	2
porsi besar	2
Lebaran	2
Baju lebaran	2
malam takbir	2
Foto bareng hantu	2
Foto bareng hantu	2
festival foto braga	2
refreshing	2
gemerlap lampu	2
level pedas	2
sawah	2
menara	2
durian festival	2
bazzar	2
senam pagi	2
konser	2
masakan sunda	2
masakan korea	2
enak	2
banyak	2
ngopi	2
berkelana	2
traveling	2
paparahuan	2
outbond	2
alam terbuka	2
cuaca	2
promo	2
takjil gratis	2
sahur gratis	2
lapar	2
haus	2
istirahat	2
ibadah	2
kenyang	2
sejarah	2
ngeteh	2
wilujeng wengi	2
bolu susu lembang	2
persib day	2
wilung leleson	2
bangunan sejarah	2
mentari pagi	2
sinar rembulan	2
curhat	2
mahakarya pencipta	2
shoping center	2
fajar	2
ulin	2
percikan air curug	2
rampak kendang	2
nyurug	2
parade musik	2
parade lampion	2
pesta kembang api	2
bersantai	2
bermain	2
berolahraga	2
bersepeda	2
minggu	2
holiday	2
live music	2
teater	2
berdoa	2
hari jadi	2
kota bandung	2
jomblo	2
akhir pekan	2
pentas seni	2
panggung teater	2
pertunjukan angklung	2
wayang golek	2
konser	2
konser band	2
drama musikal	2
calung sunda	2
prasasti	2
rampak kendang	2
fotographi	2
bandung big heart	2
festival seni	2
budaya musik	2
musik patrol	2
buka bersama	2
ngabuburitfest	2
workshop	2
baso aci	2
es kepal milo	2
berburu makanan	2
buku	2
hari buku nasional	2
bandung histo - race	2
film daerah	2
asian games	2
art goes to school	2
mojang jajaka bandung	2
food truck festival	2
kompetisi pariwisata	2
belajar	2
unity run	2
hari buruh	2
lomba musik angklung	2
kota belanja	2
trend fashion	2
diskusi budaya	2
hari angkutan nasional	2
hari bumi	2
hari kartini	2
factory outlet	2
permainan tradisional	2
seni kontemporer	2
karinding	2
kebun seni	2
seni tradisional	2
taman tematik	2
CFD	2
peuyeum bandung	2
bandrek	2
hari film nasional	2
bandung lautan api	2
hari hutan sedunia	2
tahu cibuntu	2
longser	2
kampung kreatif	2
kawasan textil	2
KTC	2
gedung seni	2
cultural & tourism expo	2
baca buku	2
pagelaran degung	2
pagelaran kecapi	2
wisata sablon	2
perajin sepatu cibaduyut	2
wisata musium	2
clothing	2
chinatown food fest	2
bike share boseh	2
kreatfitas	2
konservasi hutan	2
malam jumat	2
ruang terbuka	2
kuno	2
wengi	2
sonten	2
enjing	2
berlibur	2
weekendnya	2
dingin	2
malam	2
gelap gulita	2
pagi	2
sore	2
cari catering	2
cari	2
weekend	2
sunrise	2
eksplorasi	3
nyaman	3
aman	3
selamat pagi	3
selamat siang	3
selamat sore	3
selamat malam	3
senja	3
mampir	3
nikmati	3
favorit	3
khas	3
traktir	3
puas	3
memanjakan	3
matahari	3
bulan	3
bintang	3
indah	3
sejuk	3
terjangkau	3
dekat	3
pemandangan	3
bebas	3
merasakan	3
hadir	3
luas	3
mudah	3
memahami	3
sampai	3
menarik	3
kegiatan	3
menawarkan	3
dibuka	3
primadona	3
berbagai	3
murah	3
mahal	3
tak enak	3
enak	3
mengenal	3
aneka	3
rehat	3
sejenak	3
berinteraksi	3
resik	3
buaian	3
angin	3
di padu	3
gemericik	3
aliran	3
senang	3
tak senang	3
alami	3
natural	3
menjajal	3
santai	3
asri	3
istirahat	3
bermain	3
selfie	3
menarik	3
hobi	3
modern	3
asyik	3
kediaman	3
tradisional	3
menuju	3
cuaca	3
hujan	3
panas	3
cerah	3
mendung	3
gerimis	3
pilihan	3
macet	3
lancar	3
layanan	3
ternama	3
perjalanan	3
di antar	3
hati	3
resmi	3
gathering	3
dijadikan	3
kumpul	3
keluarga	3
teman	3
pacar	3
pasangan	3
kekasih	3
gebetan	3
pentas	3
pameran	3
menyambangi	3
mengenal	3
buaian	3
dekat	3
extra	3
sehat	3
segar	3
unik	3
spesial	3
nagih	3
cocok	3
banget	3
ngirit	3
fresh	3
penasaran	3
hits	3
di kalanagan	3
kekinian	3
eksotis	3
perayaan	3
penuh	3
penutupan	3
kenangan	3
patah hati	3
mantan	3
jadian	3
berkualitas	3
menciptakan	3
baru	3
klasik	3
artistik	3
menyuguhkan	3
pemandangan	3
menampung	3
hatur nuhun	3
terimakasih	3
selamat datang	3
nongkrong	3
andalan	3
bersahabat	3
asyik	3
menggelar	3
revitalisasi	3
cara	3
belajar	3
tertib	3
latar	3
hijau	3
biru	3
pekat	3
kunjungi	3
kunjungan	3
bunga	3
rindang	3
jauh	3
travel	3
ulang tahun	3
aniversary	3
pesta	3
reuni	3
wedding	3
menikah	3
mimpi	3
hidup	3
lebih	3
perubahan	3
betah	3
ingin	3
cerita	3
kisah	3
legenda	3
sahabat	3
senyum	3
ingat	3
sumping	3
meriah	3
sepi	3
rame	3
mampir	3
keren	3
pesona	3
wargi Bandung	3
suasana	3
momen	3
melihat	3
kuy	3
nonton	3
kemerdekaan	3
jangan lupa	3
proses	3
hasil	3
pilihan	3
terbaik	3
kangen	3
rindu	3
menawarkan	3
benci	3
berubah	3
tetat	3
tepat	3
gratis	3
bayar	3
serasa	3
berjalan	3
mengarungi	3
ngantri	3
pesan	3
tantangan	3
kepedulian	3
pohon	3
sering	3
jarang	3
lenggang	3
nilai	3
angker	3
melekat	3
cinta	3
bicara	3
ngomongin	3
berkah	3
anugrah	3
berbagi	3
memori	3
kesan	3
menanti	3
berani	3
idola	3
cozy	3
nuansa	3
edun	3
luar biasa	3
menggetarkan	3
luluh	3
aroma	3
mencium	3
haru	3
terabaikan	3
emosi	3
meredakan	3
angan	3
air mata	3
cemberut	3
berhasil	3
gagal	3
menampakan	3
sisi lain	3
di campurkan	3
hamparan	3
gersang	3
gerah	3
payah	3
sublim	3
mendengar	3
sakit	3
sakti	3
bergumamam	3
impian	3
harapan	3
gemas	3
bening	3
berhayal	3
bernyanyi	3
nyanyian	3
seakan akan	3
seperti	3
ibarat	3
maju	3
mundur	3
belok	3
ikhtiar	3
kebesaran	3
Tuhan	3
binatang	3
berpikir	3
menuangkan	3
analisis	3
tajam	3
bersiul	3
mentari	3
senja	3
bergoyang	3
menari	3
seolah	3
merana	3
menyaksikan	3
irama	3
suara	3
nada	3
harmoni	3
getaran	3
cemburu	3
niat	3
urung	3
menghisap	3
menyedot	3
meluluhlantahkan	3
meludahi	3
terbuai	3
enjoy	3
kalem	3
menyulut	3
terperdaya	3
hanyut	3
berguguran	3
berhamburan	3
menyeka	3
meruntuhkan	3
memabukan	3
terlalu	3
menyingsing	3
menyakitkan	3
memburu	3
tertinggal	3
terjerumus	3
marah	3
amarah	3
kepergian	3
kepulangan	3
kebiasaan	3
menanggapi	3
meniup	3
menggagas	3
menaiki	3
menuruni	3
mengampuni	3
membuka	3
menutup	3
membagi	3
curahan	3
pengecut	3
nurani	3
menghargai	3
mengurai	3
mengurangi	3
menambahkan	3
beban	3
hapy	3
akur	3
berantem	3
seimbang	3
seirama	3
terganggu	3
tertidur	3
terdiam	3
menduduki	3
merangkak	3
terharu	3
berteman	3
andaikan	3
seandainya	3
memilih	3
menentukan	3
mengabaikan	3
hancur	3
lebur	3
mengalir	3
tersendat	3
kotor	3
bersih	3
terdorong	3
memisahkan	3
mengesankan	3
menyayat	3
berisik	3
tenang	3
menjual	3
menghapus	3
mencoret	3
memperdaya	3
dangkal	3
dalam	3
di batasi	3
mengawasi	3
waspada	3
larut	3
jatuh cinta	3
rintangan	3
halangan	3
terjal	3
mati	3
mematikan	3
mengakibatkan	3
meneyrupai	3
mencukupi	3
menandai	3
sia - sia	3
percuma	3
mengutamakan	3
menunda	3
melarang	3
di larang	3
menjegal	3
merintangi	3
seru	3
mendalami	3
sampai	3
menngatur	3
pasrah	3
bergantung	3
mengiba	3
mencela	3
mentransfer	3
menyikapi	3
merapikan	3
baik	3
jahat	3
menghianati	3
mewaspadai	3
menghawatirkan	3
banyak	3
sedikit	3
setengah	3
seadanya	3
semestinya	3
mengira	3
memikirkan	3
memeluk	3
mencium	3
meraba	3
mengecup	3
bertahan	3
menghadiahi	3
menggenggam	3
memerintahkan	3
mengharuskan	3
mewajibkan	3
galau	3
pilu	3
baper	3
ngilu	3
geli	3
beryukur	3
tafakur	3
piknik	3
jalan-jalan	3
menyenangkan	3
keluarga	3
pacar	3
pujaan	3
peluang	3
menghidupkan	3
memejamkan	3
menjernihkan	3
menghilangkan	3
mengada ada	3
ayo	3
bersemangat	3
ambisi	3
sensasi	3
mendaur ulang	3
mengaktifkan	3
menyatakan	3
mempengaruhi	3
keruh	3
menghujam	3
silau	3
imajinasi	3
pikiran	3
hakikat	3
sejarah	3
peninggalan	3
memanipulasi	3
polusi	3
ragu	3
yakin	3
menarik	3
bergerak	3
menghela	3
melengkapi	3
menandai	3
mengibaratkan	3
sembunyi	3
meneteskan	3
menggugah	3
selera	3
asin	3
manis	3
pahit	3
terasa	3
terabadikan	3
tertuliskan	3
tulisan	3
goresan	3
cuitan	3
kata	3
ucapan	3
tanggapan	3
perhatian	3
mengutuk	3
janji	3
ingkar	3
ikatan	3
perjuangan	3
jadian	3
putus	3
balikan	3
php	3
bersinar	3
putih	3
sengsara	3
memperkaya	3
berdaya	3
usaha	3
manis	3
cantik	3
lucu	3
keren	3
rasa eropa	3
keindahan	3
syukur	3
santai	3
nikmat	3
bingung	3
bangga	3
indah	3
Kenny Dewi Kaniasari	4
Kenny	4
Kaniasari	4
Dewi Kaniasari	4
Arie Astuti Prasetyani Rusbudiati	4
Ateng Rudy Rachmansyah	4
Bonie Nugraha Permana	4
Deni Kusnadi	4
Yetty Hartaty	4
Entin Suryati	4
Titin Kuswiatin	4
Nanang Sodikin	4
Yuyus Rusyana	4
Iyan Rusyana	4
Edward Parlindungan	4
Eva Nur Desiyanti	4
Fatwa Fathul Wahhab El Anshary	4
Aswin Sulaeman Utama Abdurrachman	4
Sigit Iskandar	4
Tjep Dahyat	4
Ida Rafni	4
Rahayu Widiowati	4
Meti Aisah	4
Muhammad Insan Kamil	4
R. Hadi Widianto	4
R. Latifah Chaerunnisa	4
Rendra Karjawan	4
Sanny Megawati	4
Sri Susiagawati	4
Sumarno	4
Tris Avianti Ratnajati	4
Yeti Kurniawati	4
Yuliana Dewi	4
Annisa Siti N	4
Annisa Siti	4
Dariel Max	4
Darryl Max	4
Nabila Ratna Kasyalia	4
Reiner M Akbar Ekadiredja	4
Reiner M Akbar	4
Dwi Agung Nugraha	4
Nabila Gita	4
Alby Panatayama	4
Fitri Febrianty	4
Wildi Cahya Gumilar	4
Adisti Yulianti P	4
Farhan Agusta	4
Kevin Liliana	4
Kirana Rizky	4
Fiqih Aghniyah	4
Renadia Salsabila	4
Gani Muhammad	4
Ayu Restiani	4
Fadel Adhi	4
Amelia Putri Haidar	4
Amelia Haidar	4
Michelle Yolanda	4
Rosa F Nadila	4
Aulia Yasmin	4
Reside Fauzulhaq	4
Nadia Hafizha	4
Anisa Siti Nurhaliza	4
Anisa Nurhaliza	4
Vemma Mariana	4
Anggi Rosdiani	4
petani	4
RA Kartini	4
tuhan	4
yayoi kusuma	4
sangkuriang lupa jika cinta terlahir dengan keliaran, merasa dengan segala keluasan, sangkuriang juga lupa jika cinta bisa membahayakan	6
lapang sepak bola	1
tegalega	1
pemandian air panas	1
cinta	3
kopi	1
sumba	1
tanah sunda	1
bukit teletubies	1
keceriaan	3
terpesona	3
semangat	3
lestarikan	3
saung angklung udjo (SAU) merupakan sebuah tujuan wisata bandung yang lengkap karena memiliki arena pertunjukkan, pusat kerajinan bambu, dan workshop untuk alat musik bambu. di samping itu, kehadiran SAU di bandung menjadi lebih bermakna karena kepeduliannya untuk terus melestarikan dan mengembangkan kebudayaan sunda khususnya angklung kepada masyarakat melalui saran pendidikan dan pelatihan	6
hari musik nasional	2
maret	2
international bandung beauty expo	2
alat musik tradisional sunda	1
indonesia	1
alat musik angklung	1
budayakan	1
ceremony	2
piala presiden	2
januari	2
februari	2
penari	4
musisi	4
saung angklung udjo	1
siang	2
berwisata	1
bandros	1
puteri indonesia	1
jawa barat	1
thematic place	2
kece	3
cerah	2
liburan	1
sendang geulis kahuripan	1
honeymoon	1
travelling	1
berlibur	1
minggu	1
destinasi wisata	1
wisata tematik	1
planning	1
akhir tahun	2
MC Donald ID	4
spicy chicken	1
pedesnya	1
hunting makanan	1
instagramable	1
murah-murah	1
brunch	2
nongkrong	1
desain interior	1
betah	2
resto korea	1
bbq	1
halal	1
enak	1
makan	1
masakan rumahan	1
kemarin	3
pepes	1
klapertaart	1
kuliner khas bandung	1
santap	1
hujan	2
ramai	1
citarasa	1
baso	1
bakmie	1
@bakmie_juragan	4
unik	1
tuhan   3 